Country_Name,Median_Age
Afghanistan,27.4
Albania,32.9
Algeria,28.1
American Samoa,25.5
Andorra,44.3
Angola,15.9
Anguilla,34.8
Antigua and Barbuda,31.9
Argentina,31.7
Armenia,35.1
Aruba,39.3
Australia,38.7
Austria,44.0
Azerbaijan,32.3
The Bahamas,32.0
Bahrain,32.3
Bangladesh,26.7
Barbados,38.6
Belarus,40.0
Belgium,41.4
Belize,22.7
Benin,18.2
Bermuda,43.4
Bhutan,27.6
Bolivia,24.3
Bosnia and Herzegovina,42.1
Botswana,24.5
Brazil,32.6
British Virgin Islands,36.5
Brunei,30.2
Bulgaria,42.7
Burkina Faso,17.3
Burundi,17.0
Cape Verde,25.4
Cambodia,25.3
Cameroon,18.5
Canada,42.2
Cayman Islands,40.0
Central African Republic,19.7
Chad,17.8
Chile,34.4
China,37.4
Colombia,30.0
Comoros,19.9
Democratic Republic of the Congo,18.6
Republic of the Congo,19.7
Cook Islands,36.5
Costa Rica,31.3
Ivory Coast,20.9
Croatia,43.0
Cuba,41.5
Curacao,36.1
Cyprus,36.8
Czech Republic,42.1
Denmark,42.2
Djibouti,23.9
Dominica,33.5
Dominican Republic,28.1
Ecuador,27.7
Egypt,23.9
El Salvador,27.1
Equatorial Guinea,19.8
Eritrea,19.7
Estonia,42.7
Eswatini,21.7
Ethiopia,17.9
Faroe Islands,37.6
Fiji,28.9
Finland,42.5
France,41.4
French Polynesia,31.9
Gabon,18.6
The Gambia,21.0
Georgia,38.1
Germany,47.1
Ghana,21.1
Gibraltar,34.7
Greece,44.5
Greenland,33.9
Grenada,31.5
Guam,29.0
Guatemala,22.1
Guernsey,43.8
Guinea - Bissau,20.1
Guinea,18.9
Guyana,26.2
Haiti,23.0
Honduras,23.0
Hong Kong,44.4
Hungary,42.3
Iceland,36.5
India,28.1
Indonesia,30.2
Iran,30.3
Iraq,20.0
Ireland,36.8
Isle of Man,44.2
Israel,29.9
Italy,45.5
Jamaica,26.0
Japan,47.3
Jersey,38.0
Jordan,22.5
Kazakhstan,30.6
Kenya,19.7
Kiribati,24.6
North Korea,34.0
South Korea,41.8
Kuwait,29.3
Kyrgyzstan,26.5
Laos,23.0
Latvia,43.6
Lebanon,30.5
Lesotho,24.2
Liberia,17.8
Libya,28.9
Liechtenstein,43.2
Lithuania,43.7
Luxembourg,39.3
Macau,39.3
North Macedonia,37.9
Madagascar,19.7
Malawi,16.5
Malaysia,28.5
Maldives,28.2
Mali,15.8
Malta,41.8
Marshall Islands,22.9
Mauritania,20.5
Mauritius,35.3
Mexico,28.3
Micronesia,25.1
Moldova,36.7
Monaco,53.1
Mongolia,28.3
Montenegro,40.7
Montserrat,33.2
Morocco,29.3
Mozambique,17.2
Namibia,21.2
Nauru,26.4
Nepal,24.1
Netherlands,42.6
New Caledonia,32.0
New Zealand,37.9
Nicaragua,25.7
Nigeria,18.4
Niger,15.4
Northern Mariana Islands,33.6
Norway,39.2
Oman,25.6
Pakistan,23.8
Palau,33.4
Panama,29.2
Papua New Guinea,23.1
Paraguay,28.2
Peru,28.0
Philippines,23.5
Poland,40.7
Portugal,42.2
Puerto Rico,41.5
Qatar,33.2
Romania,41.1
Russia,39.6
Rwanda,19.0
Saint Barthelemy,44.1
Saint Kitts and Nevis,35.0
Saint Lucia,34.8
Saint Martin,32.5
Saint Pierre and Miquelon,46.5
Saint Vincent and the Grenadines,33.6
Samoa,24.4
San Marino,44.4
Sao Tome and Principe,18.4
Saudi Arabia,27.5
Senegal,18.8
Serbia,42.6
Seychelles,35.4
Sierra Leone,19.0
Singapore,34.6
Sint Maarten,41.0
Slovakia,40.5
Slovenia,44.5
Solomon Islands,22.5
Somalia,18.1
South Africa,27.1
South Sudan,17.3
Spain,42.7
Sri Lanka,32.8
Sudan,19.9
Suriname,29.8
Sweden,41.2
Switzerland,42.4
Syria,24.3
Taiwan,40.7
Tajikistan,24.5
Tanzania,17.7
Thailand,37.7
East Timor,18.9
Togo,19.8
Tonga,23.0
Trinidad and Tobago,36.0
Tunisia,31.6
Turkey,30.9
Turkmenistan,27.9
Turks and Caicos Islands,33.3
Tuvalu,25.7
Uganda,15.8
Ukraine,40.6
United Arab Emirates,30.3
United Kingdom,40.5
United States,38.1
Uruguay,35.0
Uzbekistan,28.6
Vanuatu,22.0
Venezuela,28.3
Vietnam,30.5
Virgin Islands,41.0
Wallis and Futuna,32.2
Western Sahara,21.1
Yemen,19.5
Zambia,16.8
Zimbabwe,20.0
